mx,my
25,12
37,23
8,48
46,11
31,24
14,24
37,21
43,31
28,24
6,35
33,24
20,18
17,17
31,15
46,35
39,24
45,19
43,28
34,22
20,17
41,29
26,9
42,27
37,21
25,24
22,17
29,13
11,28
25,13
28,7
38,15
9,42
27,10
50,9
40,21
14,37
11,36
46,18
28,21
28,23
37,20
41,20
38,29
30,22
35,11
36,11
35,16
36,9
41,17
36,19
41,26
9,33
43,26
36,14
26,7
45,23
24,3
35,11
48,19
37,16
17,3
23,22
38,16
38,20
34,21
30,3
38,21
10,15
44,22
26,24
16,13
14,30
37,19
33,14
37,27
39,23
41,16
45,17
45,21
28,10
27,12
32,7
36,16
31,16
27,19
37,16
12,31
7,44
29,18
47,27
7,29
38,22
36,19
29,8
38,15
46,31
13,13
14,17
38,19
36,18
