sx,sy,gx,gy
17,18,99,93
9,9,96,92
2,4,89,97
17,13,80,97
14,9,97,91
19,20,94,81
2,11,85,98
2,20,82,85
12,19,97,96
16,16,93,91
2,12,86,83
2,18,90,81
4,4,82,96
9,4,86,92
1,11,94,83
2,10,93,85
6,3,89,85
6,19,91,95
10,7,88,85
4,20,90,86
8,16,81,91
10,18,95,93
18,1,98,81
10,3,80,87
15,6,82,84
9,17,80,94
20,2,80,95
16,16,97,93
5,1,95,88
4,18,91,85
5,5,90,89
19,14,90,95
20,5,96,89
15,11,97,95
1,10,84,88
14,6,92,87
2,19,83,84
15,14,80,83
22,22,99,89
6,41,83,94
49,16,98,90
6,5,91,86
12,9,99,96
19,19,82,99
18,18,87,82
14,10,90,94
8,12,93,80
10,8,84,83
7,5,89,98
3,4,84,98
8,3,93,82
27,22,89,96
14,15,80,93
2,16,80,99
10,14,97,87
12,9,94,81
33,17,90,80
16,3,84,83
4,8,90,85
33,15,84,81
4,63,89,89
20,20,83,92
7,10,83,89
5,15,91,91
25,15,87,82
10,1,95,82
14,8,88,91
17,17,82,91
5,10,98,80
17,13,96,84
16,15,81,92
11,2,93,95
4,4,81,99
11,4,82,94
18,12,87,95
13,15,99,90
5,5,80,97
7,15,94,87
9,17,82,99
1,14,98,87
