s1,s2,s3,s4,s5,s6,g1,g2,g3,g4,g5,g6
-7.62868448402898e-05,-3.701059954774877e-05,9.613672789487993e-05,-3.6126851357565215e-05,-3.786519756499018e-05,6.135978038912526e-05,-1.213651398534177,-0.33837721051534675,-1.0158442898514686,3.8095743363922305e-05,1.354046763893635,-1.2136981801726412
-8.410642226053255e-05,-2.329083591501302e-05,-2.4952247107634662e-05,-1.689322208431321e-05,8.725064320014297e-05,-1.7915600081686023e-05,-1.5498720825852226,-0.27164880508051154,-1.2586924599954359,2.592408701085816e-05,1.5302112982758425,-1.549850973167173
5.817570754373946e-05,-2.243374028854106e-05,-9.786584596227499e-05,5.349189015024791e-05,7.702990641167418e-05,1.1029949206431411e-05,-1.5571118609858634,-0.382767999033693,-1.1928267439346096,7.214193551336926e-05,1.5755368873060693,-1.5571040634054487
5.9448943432904855e-05,-2.069616894395665e-05,-7.817802968279608e-05,1.777987406725856e-05,1.6186353327007907e-05,5.405482514220239e-05,-1.1979746368163466,-0.3194348800663307,-1.0245490795646595,6.574523383669053e-05,1.3440780606774225,-1.1981668483630479
8.234557606989767e-05,7.344941119935555e-05,-2.5121198646615994e-05,-6.001980451753042e-05,-7.876948202856227e-05,-5.518470944654297e-05,-1.1258243254562708,-0.23909212486830028,-0.9605829492188653,-7.31436253572912e-05,1.199551108409954,-1.1259420378565839
4.4350024284156575e-05,-8.109272681089408e-05,-2.8334982988376112e-05,5.2090158199291636e-05,5.789474903750147e-05,6.2281229328498e-05,-1.1913499962027758,-0.2557767741388931,-1.0277356816661989,-0.022291143792457214,1.2922710460426354,-1.1851173274804356
-7.611068233615015e-05,-6.431493740333138e-05,-7.394794708748265e-05,-7.071410379211329e-05,-4.004635953691604e-05,1.861841622741167e-05,-1.0746504623285555,-0.3807876918420148,-0.8317210677937535,9.095745669925168e-05,1.2126334577341507,-1.0746529173500727
5.3580290441779255e-05,-8.615973480630146e-05,4.980076202976136e-05,-2.77796865635338e-05,-3.8625440818229606e-05,7.940222763203053e-05,-1.1263607313469675,-0.2479521742973013,-0.9715689196819678,1.1496340215599006e-05,1.2196430735107169,-1.1264670578162401
-6.64774488772224e-05,9.355438140801198e-05,-8.576946990235257e-05,-1.9354399591442473e-05,-6.198431326698284e-05,8.699084466190499e-05,-1.1524207412690337,-0.3551657013738993,-1.0255731087533548,5.813054678214029e-05,1.3807218314390775,-1.1522689930272079
-8.729332013235336e-05,-8.399185501151152e-05,7.987071193937822e-05,-7.502316425700428e-05,-8.326635208533162e-05,-6.402156783025248e-05,-1.1247351342490615,-0.5195867087269554,-0.8510820258944284,2.834987239726075e-05,1.3705636153481717,-1.1246908584940216
-4.5447256824537874e-05,-2.220045428114048e-05,-8.039607558796291e-05,7.146055282714059e-05,6.50800073005442e-05,-4.424266832536716e-05,-1.0781895824548606,-0.3977892138997589,-0.8772757693070791,-2.9557969879607496e-05,1.275002839204062,-1.07804464316317
4.4348273005034855e-05,-4.9548083394412856e-05,-8.861356030820389e-05,2.7588895012087278e-05,2.130768494268409e-05,5.581690909384207e-05,-1.1898777036594022,-0.43973285708984244,-0.9725036463381973,-7.538073834833898e-05,1.4122179011290488,-1.1898362073263502
-6.711421835436937e-05,-4.8095120824598325e-05,-9.694945261884413e-05,-8.62520690727564e-05,9.585005923007373e-05,-1.9751880951268674e-05,-1.1089678603545199,-0.3050531325784276,-0.9286126209054475,5.426047822054389e-05,1.2336582747425433,-1.1089733323273756
-5.2630245960472166e-05,-5.1141838397938955e-05,-2.4911574445063422e-05,9.627589442384732e-05,9.939508888123783e-05,6.877503466107271e-05,-1.0857892791406691,-0.3521710244021487,-0.8719949093202626,-5.0512887126510456e-05,1.2241584159206098,-1.0856778689063427
7.498568217290114e-05,7.895117968548249e-05,-7.858998122500793e-05,-3.365370071861662e-05,5.760955590172756e-05,7.322172907286983e-05,-1.1837587216843948,-0.42918704378535383,-0.9313817354069601,1.3798865625841303e-06,1.3606476745531455,-1.1838380171295935
