sx,sy,gx,gy
4,1,94,82
5,18,99,96
1,7,93,88
18,6,88,92
4,19,86,82
1,14,88,90
8,14,92,99
20,15,97,97
17,12,82,88
5,19,82,90
3,17,96,84
14,3,89,94
1,18,80,98
16,10,94,80
20,17,89,83
20,3,83,94
17,12,82,91
17,9,88,93
3,19,98,98
11,4,98,81
15,17,93,95
10,10,97,94
13,18,83,94
9,16,86,85
16,11,89,84
6,16,85,82
14,18,84,97
1,8,96,89
9,10,90,90
12,7,88,99
6,16,99,87
6,13,89,81
7,6,85,85
18,10,80,82
10,19,98,80
16,5,95,99
3,5,89,93
18,13,90,90
16,10,95,98
16,3,90,93
5,17,80,82
15,7,80,82
20,5,81,85
14,18,98,96
3,9,88,87
20,10,89,91
19,16,87,85
5,4,91,86
11,11,93,92
20,19,90,97
15,18,89,88
1,5,89,92
14,13,98,92
5,10,84,93
16,19,88,96
20,6,90,99
4,17,93,92
4,5,93,88
16,19,86,86
15,14,89,87
1,2,90,88
12,11,91,97
8,6,81,83
7,11,86,90
8,3,99,89
14,2,89,98
14,6,84,89
1,2,95,82
14,18,87,83
13,15,98,87
1,7,83,83
4,18,88,96
13,11,87,84
2,16,89,87
19,13,99,87
7,19,90,89
13,16,89,88
17,3,80,80
18,7,94,81
13,15,83,92
12,17,86,93
16,5,96,97
4,18,84,93
3,1,94,95
12,15,84,88
5,11,95,82
1,19,96,89
5,13,83,83
14,12,80,94
20,13,89,95
8,13,82,89
12,4,87,80
4,18,99,89
14,2,92,86
16,9,95,84
20,20,94,82
2,2,91,84
9,2,94,85
6,19,94,87
14,6,86,81
