mx,my
57,69
78,69
79,57
78,79
71,57
71,59
63,87
74,81
57,61
61,52
53,78
65,61
62,60
79,50
67,90
73,62
75,71
70,76
67,81
63,71
70,79
63,66
87,63
71,71
68,52
75,54
65,67
78,68
60,75
70,72
81,69
61,77
57,63
71,65
64,78
78,63
63,69
65,76
80,71
58,69
56,67
78,61
65,81
71,78
53,76
67,67
63,73
52,71
76,82
64,72
69,76
67,58
83,73
61,65
55,79
77,65
60,79
69,65
69,73
54,77
74,53
62,72
74,67
62,76
76,69
76,63
76,63
52,59
61,81
58,73
52,53
57,76
73,66
73,61
70,76
72,69
62,76
62,61
59,78
61,69
68,63
60,74
66,70
67,74
53,75
75,67
59,72
64,68
67,60
79,77
54,69
75,61
76,63
69,66
61,59
78,72
68,59
71,61
73,69
63,71
