sx,sy,gx,gy
70,53,99,93
55,58,96,92
45,57,89,97
65,61,80,97
58,60,97,91
64,55,94,81
52,45,85,98
58,38,82,85
53,64,97,96
69,52,93,91
37,59,86,83
55,45,90,81
72,35,82,96
51,50,86,92
54,49,94,83
66,43,93,85
41,53,89,85
62,31,91,95
42,52,88,85
70,36,90,86
30,61,81,91
64,50,95,93
64,51,98,81
67,27,80,87
36,53,82,84
68,37,80,94
70,46,80,95
79,50,97,93
65,45,95,88
71,45,91,85
39,46,90,89
38,57,90,95
78,51,96,89
58,50,97,95
39,44,84,88
78,42,92,87
45,39,83,84
52,39,80,83
57,75,99,89
51,51,83,94
72,58,98,90
53,49,91,86
57,51,99,96
66,35,82,99
52,31,87,82
37,64,90,94
48,29,93,80
42,54,84,83
64,39,89,98
50,45,84,98
63,39,93,82
53,61,89,96
42,47,80,93
58,35,80,99
55,35,97,87
73,42,94,81
63,58,90,80
56,23,84,83
42,56,90,85
75,43,84,81
65,38,89,89
51,44,83,92
49,28,83,89
52,59,91,91
60,37,87,82
37,63,95,82
57,31,88,91
45,51,82,91
64,36,98,80
72,51,96,84
45,52,81,92
56,54,93,95
61,40,81,99
65,44,82,94
53,37,87,95
67,41,99,90
63,46,80,97
47,55,94,87
71,40,82,99
47,46,98,87
